coord1,coord2,sample,group
3365,6308,H1_2,Stroma
3618,6017,H1_2,BG_rank3
3491,6090,H1_2,Stroma
3618,6162,H1_2,BG_rank3
3491,6235,H1_2,Stroma
3618,6308,H1_2,Stroma
3492,6380,H1_2,Stroma
3618,6453,H1_2,Stroma
3492,6526,H1_2,Stroma
3618,6598,H1_2,Stroma
3870,5581,H1_2,BG_rank2
3870,5872,H1_2,BG_rank3
3744,5944,H1_2,Stroma
3870,6017,H1_2,Stroma
3744,6090,H1_2,BG_rank3
3871,6162,H1_2,BG_rank3
3744,6235,H1_2,BG_rank3
3871,6307,H1_2,Stroma
3744,6380,H1_2,BG_rank2
3871,6453,H1_2,Stroma
3744,6525,H1_2,Stroma
3871,6598,H1_2,Stroma
3745,6671,H1_2,Stroma
3871,6743,H1_2,Stroma
4123,5145,H1_2,BG_rank3
3996,5218,H1_2,BG_rank1
4123,5290,H1_2,Stroma
3996,5363,H1_2,BG_rank3
4123,5436,H1_2,BG_rank2
3996,5508,H1_2,Exclude
4123,5581,H1_2,BG_rank2
3997,5654,H1_2,Stroma
4123,5726,H1_2,Stroma
3997,5799,H1_2,Exclude
4123,5871,H1_2,BG_rank3
3997,5944,H1_2,BG_rank3
4123,6017,H1_2,BG_rank2
3997,6089,H1_2,BG_rank2
4123,6162,H1_2,BG_rank1
3997,6235,H1_2,BG_rank1
4123,6307,H1_2,BG_rank3
3997,6380,H1_2,Stroma
4124,6452,H1_2,BG_rank3
3997,6525,H1_2,Stroma
4124,6598,H1_2,BG_rank4
3997,6670,H1_2,Stroma
4124,6743,H1_2,Stroma
4124,6888,H1_2,Stroma
4375,4854,H1_2,Exclude
4249,4927,H1_2,BG_rank2
4375,4999,H1_2,Stroma
4249,5072,H1_2,BG_rank2
4375,5145,H1_2,Stroma
4249,5217,H1_2,Stroma
4375,5290,H1_2,Stroma
4249,5363,H1_2,BG_rank2
4376,5435,H1_2,BG_rank3
4249,5508,H1_2,BG_rank2
4376,5581,H1_2,BG_rank2
4249,5653,H1_2,Exclude
4376,5726,H1_2,BG_rank2
4249,5799,H1_2,Stroma
4376,5871,H1_2,BG_rank3
4250,5944,H1_2,BG_rank2
4376,6016,H1_2,BG_rank2
4250,6089,H1_2,BG_rank4
4376,6162,H1_2,BG_rank2
4250,6234,H1_2,Stroma
4376,6307,H1_2,BG_rank2
4250,6380,H1_2,Exclude
4376,6452,H1_2,Exclude
4250,6525,H1_2,BG_rank2
4376,6598,H1_2,BG_rank4
4250,6670,H1_2,BG_rank2
4377,6743,H1_2,Stroma
4250,6816,H1_2,Stroma
4377,6888,H1_2,BG_rank2
4628,4563,H1_2,Stroma
4501,4636,H1_2,Exclude
4628,4709,H1_2,Stroma
4501,4781,H1_2,Stroma
4628,4854,H1_2,Stroma
4502,4927,H1_2,Stroma
4628,4999,H1_2,Stroma
4502,5072,H1_2,Stroma
4628,5145,H1_2,BG_rank3
