"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",2.41585058137402e-264,2.56723780954938,0.862,0.102,9.5860951068921e-261,"0","ANPEP"
"2",4.53453322278083e-237,2.28725319032295,0.74,0.067,1.79930278279943e-233,"0","CCK"
"3",4.66830054863126e-222,2.23354695676961,0.926,0.192,1.85238165769689e-218,"0","NEFH"
"4",4.22795854733763e-201,3.54577178963657,1,0.985,1.67765395158357e-197,"0","MSMB"
"5",9.58277719547943e-199,1.81238816571485,0.724,0.09,3.80244599116624e-195,"0","CD177"
"6",5.36646051613443e-194,2.10544794775649,0.998,0.778,2.12941153280214e-190,"0","AZGP1"
"7",4.01054805991772e-187,2.27611303559772,0.977,0.394,1.59138547017535e-183,"0","MT1E"
"8",7.14213049870858e-70,1.13301589140516,0.952,0.899,2.83399738188757e-66,"1","MYL9"
"9",7.21033715558979e-70,1.08341006174981,0.941,0.849,2.86106178333803e-66,"1","TAGLN"
"10",1.20376308852566e-65,1.18551381058271,0.868,0.594,4.77653193526981e-62,"1","MYH11"
"11",1.705039267285e-64,1.29488675393281,0.91,0.727,6.76559581258688e-61,"1","ACTG2"
"12",8.30723598478271e-121,1.3731285542014,1,0.958,3.29631123876178e-117,"2","H2AFJ"
"13",2.34718468188842e-117,1.27828804006905,0.997,0.746,9.31362881773326e-114,"2","TRPM4"
"14",4.80394921507741e-110,0.663874813453255,1,0.997,1.90620704854272e-106,"2","RPS8"
"15",1.03887057868502e-106,0.717727918691232,1,0.982,4.12223845622215e-103,"2","RPL7A"
"16",2.88953303467009e-103,1.22542805075402,1,0.984,1.14656670815709e-99,"2","RPL4"
"17",8.01190820785368e-146,3.97863364099417,0.774,0.224,3.17912517687634e-142,"3","CFD"
"18",1.75593180159119e-99,2.59638837139703,0.865,0.634,6.96753738871386e-96,"3","VIM"
"19",1.06537135634816e-97,4.18835893085524,0.666,0.211,4.2273935419895e-94,"3","HBA2"
"20",3.47762447345479e-91,2.64984194870634,0.622,0.179,1.37992139106686e-87,"3","CCDC80"
"21",1.56069939801927e-87,2.79767622685104,0.792,0.491,6.19285521134046e-84,"3","DCN"
"22",2.85283222692345e-87,1.0759453495534,0.994,0.998,1.13200382764323e-83,"3","TPT1"
"23",2.20171272192145e-86,3.12090080690454,0.566,0.162,8.7363960805843e-83,"3","C3"
"24",1.7126363636614e-81,2.39725582421603,0.804,0.534,6.79574109100844e-78,"3","FOS"
"25",1.18629027185582e-70,2.75776467211141,0.654,0.308,4.70719979872388e-67,"3","IGFBP6"
"26",3.13195758876219e-65,2.53786228745013,0.751,0.565,1.24276077122084e-61,"3","GSN"
"27",1.57776406730658e-64,3.79116589334734,0.651,0.363,6.26056781907251e-61,"3","APOD"
"28",6.39113055708077e-62,0.916163553854127,0.974,0.987,2.53600060504965e-58,"3","MT-ND2"
"29",1.46163349858677e-114,2.66325489006192,0.924,0.382,5.79976172239232e-111,"4","PSCA"
